label,message
ham,"Ravi, can you help me move some boxes this weekend?"
spam,"Cash prize of Rs.1,00,000 is waiting for you! Click secure-verify.info to claim instantly."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"I reached home safely, thanks for dropping me."
ham,"Please call me when you're free, nothing urgent."
ham,"Aman, i watched that movie you recommended, it was great."
ham,Please send me the notes from today's class.
spam,FREE entry into our 10000 weekly prize draw just by texting WIN to 07777888999.
ham,"I reached home safely, thanks for dropping me."
ham,Can we reschedule our call to 5pm?
ham,Are you coming to the party on Saturday?
ham,"Sara, can you send me your address again?"
ham,"I'm running late, start without me."
ham,"Please call me when you're free, nothing urgent."
ham,Can we reschedule our call to 6pm?
spam,WINNER!! As a valued customer you have won a holiday package. Text WIN to 09876543210 to collect.
ham,"I'll be there in 14 minutes, traffic is bad."
ham,"Ravi, i'll be there in 29 minutes, traffic is bad."
ham,"Priya, what time does the movie start tonight?"
ham,"The weather looks nice today, want to go for a walk?"
ham,Can we reschedule our call to noon?
ham,Mom said dinner will be ready by 5pm.
ham,"I'll be there in 13 minutes, traffic is bad."
ham,"Meera, i reached home safely, thanks for dropping me."
ham,"Rahul, let me know once you land at the airport."
ham,Can you send me your address again?
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"I'll be there in 4 minutes, traffic is bad."
spam,Cash prize of Rs.5000 is waiting for you! Click secure-verify.info to claim instantly.
ham,Congrats on the new job! So happy for you.
ham,"Rahul, i reached home safely, thanks for dropping me."
ham,"John, let me know once you land at the airport."
ham,Are you coming to the party on Saturday?
ham,"The weather looks nice today, want to go for a walk?"
ham,"Aman, i finished the assignment, sending it to you now."
ham,"I'm running late, start without me."
ham,Can you help me move some boxes this weekend?
ham,"Ravi, i'll send the report by end of day."
ham,"I'm running late, start without me."
ham,"Priya, thanks for helping me yesterday, really appreciate it."
ham,Great job on the presentation today!
ham,Great job on the presentation today!
ham,"Ravi, i reached home safely, thanks for dropping me."
spam,URGENT! Your account has been suspended. Verify now at offer-link.co to avoid deactivation.
ham,"Rahul, the weather looks nice today, want to go for a walk?"
ham,"Meera, how was your exam? Hope it went well."
ham,"John, hey, are we still meeting at 5pm today?"
ham,The project deadline got extended to next Wednesday.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,Congrats on the new job! So happy for you.
ham,Great job on the presentation today!
ham,How was your exam? Hope it went well.
ham,Please send me the notes from today's class.
ham,Let me know once you land at the airport.
ham,I'll send the report by end of day.
ham,Don't forget the meeting tomorrow at 7:15pm.
ham,"Rahul, happy birthday! Hope you have a great day."
ham,"I reached home safely, thanks for dropping me."
ham,"I left my charger at your place, can I pick it up?"
ham,What time does the movie start tonight?
ham,"I'm running late, start without me."
ham,"I'll be there in 36 minutes, traffic is bad."
ham,Mom said dinner will be ready by 8am.
ham,"Hey, are we still meeting at 5pm today?"
ham,Do you want to grab coffee tomorrow?
ham,"Anjali, the weather looks nice today, want to go for a walk?"
ham,"Hey, are we still meeting at 8am today?"
ham,"Priya, hey, are we still meeting at 6pm today?"
ham,Do you want to grab coffee tomorrow?
ham,Please send me the notes from today's class.
ham,"I'm running late, start without me."
ham,"Hey, are we still meeting at 9am today?"
ham,"Sara, don't forget the meeting tomorrow at 7:15pm."
spam,Your number has been randomly selected to win an iPhone! Claim at bit.ly/claim-now
ham,Mom said dinner will be ready by noon.
ham,"Priya, the weather looks nice today, want to go for a walk?"
ham,"Just checking in, how have you been?"
ham,Can you help me move some boxes this weekend?
ham,How was your exam? Hope it went well.
ham,Can you help me move some boxes this weekend?
ham,"Meera, let's catch up this weekend, it's been a while."
ham,Don't forget the meeting tomorrow at 5pm.
ham,"Ravi, hey, are we still meeting at 6pm today?"
ham,"I left my charger at your place, can I pick it up?"
ham,Great job on the presentation today!
ham,"Let's catch up this weekend, it's been a while."
ham,"I left my charger at your place, can I pick it up?"
spam,Your parcel could not be delivered. Pay Rs.5000 customs fee here: tinyurl.com/win-prize
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: tinyurl.com/win-prize"
ham,"Please call me when you're free, nothing urgent."
ham,Great job on the presentation today!
spam,Your mobile number has won 10000 in the lucky draw! Claim before it expires: bit.ly/claim-now
ham,Happy birthday! Hope you have a great day.
spam,Limited time offer! Get 80% off on all products. Shop now: secure-verify.info
ham,"Meera, i'll send the report by end of day."
ham,Can you help me move some boxes this weekend?
ham,How was your exam? Hope it went well.
ham,Please send me the notes from today's class.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Sara, just checking in, how have you been?"
ham,Can you pick up milk on your way home?
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"I'll be there in 43 minutes, traffic is bad."
ham,Can you send me your address again?
ham,How was your exam? Hope it went well.
ham,"Just checking in, how have you been?"
ham,"The weather looks nice today, want to go for a walk?"
ham,Great job on the presentation today!
ham,Congrats on the new job! So happy for you.
ham,Can you help me move some boxes this weekend?
ham,"Just checking in, how have you been?"
ham,"I finished the assignment, sending it to you now."
ham,"Sara, can you pick up milk on your way home?"
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: offer-link.co"
ham,"Rahul, are you coming to the party on Saturday?"
ham,Can you help me move some boxes this weekend?
ham,Let me know once you land at the airport.
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
spam,Congrats! You are pre-approved for a credit card with Rs.5000 limit. Apply: secure-verify.info
ham,Don't forget the meeting tomorrow at 10:30am.
ham,"Rahul, can we reschedule our call to 6pm?"
ham,"Meera, thanks for helping me yesterday, really appreciate it."
ham,"Anjali, please send me the notes from today's class."
ham,Happy birthday! Hope you have a great day.
ham,"I left my charger at your place, can I pick it up?"
ham,"John, i'm running late, start without me."
ham,"Rahul, can you help me move some boxes this weekend?"
ham,"Ravi, i watched that movie you recommended, it was great."
ham,Can you pick up milk on your way home?
ham,Can you help me move some boxes this weekend?
ham,"Ravi, can we reschedule our call to 5pm?"
ham,"Sara, please call me when you're free, nothing urgent."
ham,"Priya, let's catch up this weekend, it's been a while."
ham,"I watched that movie you recommended, it was great."
ham,Let me know once you land at the airport.
ham,"Sara, i'll send the report by end of day."
spam,Congrats! You are pre-approved for a credit card with Rs.2500 limit. Apply: bit.ly/claim-now
ham,"Rahul, please send me the notes from today's class."
ham,"I'll be there in 21 minutes, traffic is bad."
ham,"Aman, hey, are we still meeting at 10:30am today?"
ham,The project deadline got extended to next Wednesday.
ham,Please send me the notes from today's class.
ham,Can you help me move some boxes this weekend?
ham,Please send me the notes from today's class.
ham,Don't forget the meeting tomorrow at noon.
ham,Can you help me move some boxes this weekend?
ham,"I left my charger at your place, can I pick it up?"
spam,Congratulations! You have WON a iPhone 15 worth Rs.50000. Click here to claim now: secure-verify.info
ham,Congrats on the new job! So happy for you.
ham,"Rahul, how was your exam? Hope it went well."
ham,"Please call me when you're free, nothing urgent."
ham,Let me know once you land at the airport.
ham,Can you help me move some boxes this weekend?
ham,Don't forget the meeting tomorrow at 7:15pm.
ham,Do you want to grab coffee tomorrow?
ham,"I watched that movie you recommended, it was great."
ham,"Anjali, don't forget the meeting tomorrow at 9am."
ham,"John, let's catch up this weekend, it's been a while."
ham,I'll send the report by end of day.
ham,"Priya, can we reschedule our call to noon?"
ham,"John, let's catch up this weekend, it's been a while."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"The weather looks nice today, want to go for a walk?"
ham,"Please call me when you're free, nothing urgent."
ham,"I watched that movie you recommended, it was great."
ham,"Priya, do you want to grab coffee tomorrow?"
ham,Can you pick up milk on your way home?
ham,Mom said dinner will be ready by 8am.
ham,"Let's catch up this weekend, it's been a while."
ham,Do you want to grab coffee tomorrow?
ham,"Please call me when you're free, nothing urgent."
ham,Great job on the presentation today!
ham,"I reached home safely, thanks for dropping me."
ham,"Sara, please call me when you're free, nothing urgent."
ham,Let me know once you land at the airport.
ham,See you at the gym at 7:15pm?
ham,"I left my charger at your place, can I pick it up?"
ham,Please send me the notes from today's class.
ham,Can we reschedule our call to 5pm?
spam,You have an unclaimed refund of Rs.2500. Claim it now before it expires: get-reward.net
spam,Cash prize of Rs.2500 is waiting for you! Click offer-link.co to claim instantly.
spam,"Your parcel could not be delivered. Pay Rs.1,00,000 customs fee here: get-reward.net"
ham,"The weather looks nice today, want to go for a walk?"
ham,"Priya, i watched that movie you recommended, it was great."
ham,"Meera, let's catch up this weekend, it's been a while."
ham,"Aman, i'll send the report by end of day."
ham,"Ravi, can you pick up milk on your way home?"
ham,"Priya, congrats on the new job! So happy for you."
ham,I'll send the report by end of day.
ham,Can you pick up milk on your way home?
ham,"I left my charger at your place, can I pick it up?"
ham,"Please call me when you're free, nothing urgent."
ham,Can we reschedule our call to 5pm?
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Sara, can you pick up milk on your way home?"
ham,Can you send me your address again?
ham,"Priya, i'm running late, start without me."
ham,Are you coming to the party on Saturday?
ham,"Anjali, happy birthday! Hope you have a great day."
ham,"I left my charger at your place, can I pick it up?"
ham,Happy birthday! Hope you have a great day.
ham,"Anjali, can you send me your address again?"
ham,"John, hey, are we still meeting at 7:15pm today?"
ham,Do you want to grab coffee tomorrow?
ham,Are you coming to the party on Saturday?
ham,"I left my charger at your place, can I pick it up?"
ham,Can you pick up milk on your way home?
ham,The project deadline got extended to next Monday.
ham,What time does the movie start tonight?
spam,Your number has been randomly selected to win an iPhone! Claim at offer-link.co
ham,"I watched that movie you recommended, it was great."
ham,"I'm running late, start without me."
ham,Are you coming to the party on Saturday?
ham,"Let's catch up this weekend, it's been a while."
ham,"Aman, mom said dinner will be ready by noon."
ham,Can we reschedule our call to 5pm?
ham,Great job on the presentation today!
ham,Don't forget the meeting tomorrow at 6pm.
ham,Can we reschedule our call to 6pm?
ham,Are you coming to the party on Saturday?
ham,"Priya, please call me when you're free, nothing urgent."
ham,"I watched that movie you recommended, it was great."
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
ham,"The weather looks nice today, want to go for a walk?"
ham,"Anjali, can you help me move some boxes this weekend?"
ham,Let me know once you land at the airport.
ham,"Meera, i left my charger at your place, can I pick it up?"
ham,"Meera, i'm running late, start without me."
ham,"Meera, mom said dinner will be ready by 6pm."
ham,"Just checking in, how have you been?"
spam,Act now! Investment opportunity guaranteed to double your money in 10 days.
ham,"Just checking in, how have you been?"
ham,Can you help me move some boxes this weekend?
ham,How was your exam? Hope it went well.
ham,"I reached home safely, thanks for dropping me."
spam,Your parcel could not be delivered. Pay Rs.10000 customs fee here: offer-link.co
ham,The project deadline got extended to next Wednesday.
ham,"Sara, please call me when you're free, nothing urgent."
ham,"Hey, are we still meeting at 8am today?"
ham,"I left my charger at your place, can I pick it up?"
ham,Congrats on the new job! So happy for you.
ham,"Anjali, i'll send the report by end of day."
ham,See you at the gym at 9am?
ham,"Ravi, how was your exam? Hope it went well."
ham,"Hey, are we still meeting at 6pm today?"
ham,Let me know once you land at the airport.
spam,FREE entry into our 50000 weekly prize draw just by texting WIN to 07777888999.
ham,Great job on the presentation today!
ham,Please send me the notes from today's class.
ham,"Hey, are we still meeting at 5pm today?"
ham,"Sara, congrats on the new job! So happy for you."
ham,Can we reschedule our call to 9am?
ham,Can you help me move some boxes this weekend?
spam,Congratulations! You have WON a holiday package worth Rs.2500. Click here to claim now: tinyurl.com/win-prize
ham,Can you pick up milk on your way home?
ham,Great job on the presentation today!
ham,"The weather looks nice today, want to go for a walk?"
ham,"Let's catch up this weekend, it's been a while."
ham,What time does the movie start tonight?
spam,"Click here for a FREE iPhone 15 + free shipping, limited stock available: tinyurl.com/win-prize"
ham,"Sara, happy birthday! Hope you have a great day."
ham,Please send me the notes from today's class.
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: secure-verify.info"
ham,"Aman, let me know once you land at the airport."
ham,"Let's catch up this weekend, it's been a while."
ham,"I reached home safely, thanks for dropping me."
ham,Can we reschedule our call to 9am?
spam,You've been chosen to receive a free smartwatch. Reply YES to claim your gift now.
spam,Limited time offer! Get 90% off on all products. Shop now: tinyurl.com/win-prize
ham,"I'm running late, start without me."
ham,Mom said dinner will be ready by noon.
spam,"You have an unclaimed refund of Rs.1,00,000. Claim it now before it expires: secure-verify.info"
ham,Can you send me your address again?
spam,URGENT! Your account has been suspended. Verify now at secure-verify.info to avoid deactivation.
ham,"Let's catch up this weekend, it's been a while."
ham,"Ravi, i left my charger at your place, can I pick it up?"
ham,Great job on the presentation today!
ham,"Meera, great job on the presentation today!"
ham,Can you help me move some boxes this weekend?
ham,"I'll be there in 5 minutes, traffic is bad."
ham,"Hey, are we still meeting at 10:30am today?"
spam,Earn Rs.10000 per day working from home! No investment needed. Join now: secure-verify.info
spam,"Your mobile number has won 1,00,000 in the lucky draw! Claim before it expires: tinyurl.com/win-prize"
ham,"Meera, i watched that movie you recommended, it was great."
ham,"I reached home safely, thanks for dropping me."
spam,You've been chosen to receive a free smartwatch. Reply YES to claim your gift now.
ham,"I'm running late, start without me."
ham,"I left my charger at your place, can I pick it up?"
ham,I'll send the report by end of day.
ham,Please send me the notes from today's class.
ham,Do you want to grab coffee tomorrow?
spam,Limited time offer! Get 90% off on all products. Shop now: secure-verify.info
spam,You've been chosen to receive a free cash reward. Reply YES to claim your gift now.
spam,"Cash prize of Rs.1,00,000 is waiting for you! Click bit.ly/claim-now to claim instantly."
spam,Act now! Investment opportunity guaranteed to double your money in 4 days.
ham,"Aman, i left my charger at your place, can I pick it up?"
ham,Are you coming to the party on Saturday?
ham,"Just checking in, how have you been?"
spam,WINNER!! As a valued customer you have won a iPhone 15. Text WIN to 09876543210 to collect.
spam,Limited time offer! Get 90% off on all products. Shop now: offer-link.co
spam,"Click here for a FREE smartwatch + free shipping, limited stock available: secure-verify.info"
ham,Mom said dinner will be ready by noon.
ham,"Just checking in, how have you been?"
ham,Don't forget the meeting tomorrow at 9am.
ham,"Let's catch up this weekend, it's been a while."
ham,"I left my charger at your place, can I pick it up?"
ham,Can you send me your address again?
ham,I'll send the report by end of day.
spam,Act now! Investment opportunity guaranteed to double your money in 42 days.
ham,"I reached home safely, thanks for dropping me."
ham,"Sara, can you pick up milk on your way home?"
spam,Your number has been randomly selected to win an iPhone! Claim at get-reward.net
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
ham,"Aman, can you send me your address again?"
ham,"Just checking in, how have you been?"
ham,Are you coming to the party on Saturday?
ham,"Priya, congrats on the new job! So happy for you."
ham,Happy birthday! Hope you have a great day.
ham,"Aman, thanks for helping me yesterday, really appreciate it."
ham,"Sara, i left my charger at your place, can I pick it up?"
ham,"Just checking in, how have you been?"
spam,You've been chosen to receive a free holiday package. Reply YES to claim your gift now.
spam,Get a loan of Rs.10000 instantly with ZERO paperwork. Apply now: offer-link.co
ham,"Anjali, i left my charger at your place, can I pick it up?"
ham,"Rahul, the weather looks nice today, want to go for a walk?"
ham,"Sara, the weather looks nice today, want to go for a walk?"
ham,"Ravi, how was your exam? Hope it went well."
ham,"Aman, the project deadline got extended to next Friday."
spam,Earn Rs.5000 per day working from home! No investment needed. Join now: tinyurl.com/win-prize
ham,How was your exam? Hope it went well.
ham,Mom said dinner will be ready by 8am.
ham,"Priya, mom said dinner will be ready by 9am."
ham,Can you pick up milk on your way home?
spam,Congratulations! You have WON a gift voucher worth Rs.50000. Click here to claim now: secure-verify.info
ham,"I left my charger at your place, can I pick it up?"
ham,"Ravi, just checking in, how have you been?"
ham,"I left my charger at your place, can I pick it up?"
spam,URGENT! Your account has been suspended. Verify now at offer-link.co to avoid deactivation.
ham,Can you help me move some boxes this weekend?
ham,"Anjali, the weather looks nice today, want to go for a walk?"
ham,Congrats on the new job! So happy for you.
ham,"Just checking in, how have you been?"
ham,"Meera, please send me the notes from today's class."
spam,Congrats! You are pre-approved for a credit card with Rs.5000 limit. Apply: tinyurl.com/win-prize
ham,Happy birthday! Hope you have a great day.
ham,Can you pick up milk on your way home?
ham,Do you want to grab coffee tomorrow?
ham,"The weather looks nice today, want to go for a walk?"
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
spam,"Your parcel could not be delivered. Pay Rs.1,00,000 customs fee here: tinyurl.com/win-prize"
spam,Limited time offer! Get 70% off on all products. Shop now: offer-link.co
ham,See you at the gym at 6pm?
ham,Congrats on the new job! So happy for you.
ham,Are you coming to the party on Saturday?
ham,"I reached home safely, thanks for dropping me."
ham,The project deadline got extended to next Wednesday.
ham,Let me know once you land at the airport.
ham,"I reached home safely, thanks for dropping me."
ham,"I reached home safely, thanks for dropping me."
ham,How was your exam? Hope it went well.
ham,Mom said dinner will be ready by 9am.
ham,The project deadline got extended to next Monday.
ham,Can you pick up milk on your way home?
ham,Great job on the presentation today!
ham,Are you coming to the party on Saturday?
ham,Are you coming to the party on Saturday?
spam,FREE entry into our 5000 weekly prize draw just by texting WIN to 07777888999.
spam,FREE entry into our 10000 weekly prize draw just by texting WIN to 09876543210.
ham,See you at the gym at 6pm?
ham,The project deadline got extended to next Friday.
spam,Limited time offer! Get 70% off on all products. Shop now: offer-link.co
ham,Congrats on the new job! So happy for you.
spam,You have been selected for a FREE gift voucher!! Call 07777888999 now to claim your prize.
ham,Don't forget the meeting tomorrow at 6pm.
ham,"Rahul, great job on the presentation today!"
ham,What time does the movie start tonight?
spam,Your number has been randomly selected to win an iPhone! Claim at bit.ly/claim-now
ham,"Ravi, do you want to grab coffee tomorrow?"
ham,"I'm running late, start without me."
ham,"Rahul, just checking in, how have you been?"
ham,Can you help me move some boxes this weekend?
ham,"John, can you pick up milk on your way home?"
ham,"Rahul, i watched that movie you recommended, it was great."
spam,URGENT! Your account has been suspended. Verify now at secure-verify.info to avoid deactivation.
ham,"Meera, the weather looks nice today, want to go for a walk?"
ham,Please send me the notes from today's class.
spam,URGENT! Your account has been suspended. Verify now at tinyurl.com/win-prize to avoid deactivation.
ham,"Priya, let's catch up this weekend, it's been a while."
spam,Your number has been randomly selected to win an iPhone! Claim at offer-link.co
ham,Can you help me move some boxes this weekend?
spam,"Earn Rs.1,00,000 per day working from home! No investment needed. Join now: offer-link.co"
ham,"Ravi, i finished the assignment, sending it to you now."
ham,"I'm running late, start without me."
ham,"I finished the assignment, sending it to you now."
spam,Congratulations! You have WON a holiday package worth Rs.10000. Click here to claim now: tinyurl.com/win-prize
ham,Don't forget the meeting tomorrow at 9am.
ham,The project deadline got extended to next Friday.
ham,Let me know once you land at the airport.
ham,"Ravi, please call me when you're free, nothing urgent."
ham,How was your exam? Hope it went well.
spam,Congrats! You are pre-approved for a credit card with Rs.10000 limit. Apply: secure-verify.info
ham,Congrats on the new job! So happy for you.
spam,Congratulations! You have WON a iPhone 15 worth Rs.2500. Click here to claim now: offer-link.co
ham,"Priya, i finished the assignment, sending it to you now."
ham,Great job on the presentation today!
ham,"I reached home safely, thanks for dropping me."
ham,Let me know once you land at the airport.
ham,"Rahul, let me know once you land at the airport."
spam,Congratulations! You have WON a laptop worth Rs.10000. Click here to claim now: get-reward.net
ham,Do you want to grab coffee tomorrow?
ham,"Meera, i watched that movie you recommended, it was great."
ham,I'll send the report by end of day.
spam,Hot singles in your area want to chat with you now! Click bit.ly/claim-now
ham,"Sara, i watched that movie you recommended, it was great."
ham,"Ravi, can you pick up milk on your way home?"
ham,How was your exam? Hope it went well.
ham,"Aman, thanks for helping me yesterday, really appreciate it."
ham,"Rahul, what time does the movie start tonight?"
spam,URGENT! Your account has been suspended. Verify now at secure-verify.info to avoid deactivation.
ham,Happy birthday! Hope you have a great day.
ham,"Ravi, see you at the gym at noon?"
ham,Do you want to grab coffee tomorrow?
ham,Can you help me move some boxes this weekend?
spam,You have an unclaimed refund of Rs.5000. Claim it now before it expires: offer-link.co
spam,You have been selected for a FREE gift voucher!! Call 09876543210 now to claim your prize.
ham,Mom said dinner will be ready by 6pm.
ham,See you at the gym at noon?
ham,"Aman, great job on the presentation today!"
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: tinyurl.com/win-prize"
ham,"Ravi, i watched that movie you recommended, it was great."
ham,The project deadline got extended to next Friday.
spam,"Congrats! You are pre-approved for a credit card with Rs.1,00,000 limit. Apply: secure-verify.info"
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: bit.ly/claim-now"
ham,Can you help me move some boxes this weekend?
ham,"Just checking in, how have you been?"
ham,Congrats on the new job! So happy for you.
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
ham,Can you send me your address again?
ham,"Ravi, i watched that movie you recommended, it was great."
ham,What time does the movie start tonight?
ham,What time does the movie start tonight?
ham,Do you want to grab coffee tomorrow?
ham,See you at the gym at 6pm?
ham,"Anjali, the weather looks nice today, want to go for a walk?"
ham,"John, i watched that movie you recommended, it was great."
ham,"Just checking in, how have you been?"
ham,Great job on the presentation today!
ham,"Aman, see you at the gym at noon?"
ham,"Ravi, i'm running late, start without me."
ham,"Aman, i reached home safely, thanks for dropping me."
ham,"Hey, are we still meeting at 7:15pm today?"
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"Thanks for helping me yesterday, really appreciate it."
ham,Let me know once you land at the airport.
ham,Let me know once you land at the airport.
ham,See you at the gym at 8am?
ham,"Sara, i'll send the report by end of day."
ham,"Aman, i left my charger at your place, can I pick it up?"
ham,Congrats on the new job! So happy for you.
spam,Your mobile number has won 10000 in the lucky draw! Claim before it expires: bit.ly/claim-now
ham,"John, mom said dinner will be ready by 5pm."
ham,Let me know once you land at the airport.
ham,"Hey, are we still meeting at 9am today?"
ham,"Sara, don't forget the meeting tomorrow at noon."
ham,I'll send the report by end of day.
ham,"Thanks for helping me yesterday, really appreciate it."
ham,"I left my charger at your place, can I pick it up?"
ham,"I watched that movie you recommended, it was great."
ham,"I finished the assignment, sending it to you now."
ham,"Let's catch up this weekend, it's been a while."
ham,"The weather looks nice today, want to go for a walk?"
ham,Can we reschedule our call to 10:30am?
ham,What time does the movie start tonight?
ham,"Meera, i'll be there in 32 minutes, traffic is bad."
ham,"Let's catch up this weekend, it's been a while."
spam,WINNER!! As a valued customer you have won a gift voucher. Text WIN to 09876543210 to collect.
ham,"Rahul, what time does the movie start tonight?"
spam,Hot singles in your area want to chat with you now! Click offer-link.co
spam,URGENT! Your account has been suspended. Verify now at tinyurl.com/win-prize to avoid deactivation.
ham,Mom said dinner will be ready by noon.
spam,Your mobile number has won 2500 in the lucky draw! Claim before it expires: offer-link.co
ham,Can we reschedule our call to 5pm?
ham,Happy birthday! Hope you have a great day.
ham,Don't forget the meeting tomorrow at 6pm.
ham,Can you send me your address again?
ham,"Just checking in, how have you been?"
ham,What time does the movie start tonight?
ham,"Sara, i left my charger at your place, can I pick it up?"
spam,WINNER!! As a valued customer you have won a cash reward. Text WIN to 08001234567 to collect.
ham,"Sara, the project deadline got extended to next Monday."
ham,"Rahul, let me know once you land at the airport."
ham,Mom said dinner will be ready by 7:15pm.
ham,"Rahul, see you at the gym at 5pm?"
ham,I'll send the report by end of day.
ham,Can you pick up milk on your way home?
ham,"Aman, don't forget the meeting tomorrow at 10:30am."
ham,Congrats on the new job! So happy for you.
spam,FINAL NOTICE: Your subscription payment failed. Update details at offer-link.co immediately.
spam,You have been selected for a FREE cash reward!! Call 09876543210 now to claim your prize.
ham,"I finished the assignment, sending it to you now."
ham,"Anjali, let me know once you land at the airport."
ham,Let me know once you land at the airport.
ham,I'll send the report by end of day.
spam,Act now! Investment opportunity guaranteed to double your money in 20 days.
ham,"Meera, hey, are we still meeting at 7:15pm today?"
ham,Happy birthday! Hope you have a great day.
ham,"Aman, hey, are we still meeting at 5pm today?"
ham,"Sara, i left my charger at your place, can I pick it up?"
ham,Can you send me your address again?
spam,Your parcel could not be delivered. Pay Rs.10000 customs fee here: offer-link.co
spam,Your parcel could not be delivered. Pay Rs.50000 customs fee here: bit.ly/claim-now
ham,"Aman, let's catch up this weekend, it's been a while."
ham,"I watched that movie you recommended, it was great."
spam,You've been chosen to receive a free cash reward. Reply YES to claim your gift now.
ham,"I'm running late, start without me."
spam,You have an unclaimed refund of Rs.50000. Claim it now before it expires: secure-verify.info
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: offer-link.co"
ham,"Sara, are you coming to the party on Saturday?"
ham,What time does the movie start tonight?
ham,"Meera, can you help me move some boxes this weekend?"
ham,"Please call me when you're free, nothing urgent."
ham,"Anjali, are you coming to the party on Saturday?"
ham,"Meera, please send me the notes from today's class."
ham,Congrats on the new job! So happy for you.
ham,Can you help me move some boxes this weekend?
ham,Can you help me move some boxes this weekend?
spam,Your mobile number has won 2500 in the lucky draw! Claim before it expires: offer-link.co
ham,"Ravi, i watched that movie you recommended, it was great."
ham,"The weather looks nice today, want to go for a walk?"
ham,"Thanks for helping me yesterday, really appreciate it."
spam,You've been chosen to receive a free smartwatch. Reply YES to claim your gift now.
ham,"Priya, please call me when you're free, nothing urgent."
ham,"I finished the assignment, sending it to you now."
ham,Great job on the presentation today!
ham,"The weather looks nice today, want to go for a walk?"
ham,Don't forget the meeting tomorrow at 5pm.
ham,"I'll be there in 7 minutes, traffic is bad."
ham,"Anjali, let's catch up this weekend, it's been a while."
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: secure-verify.info"
ham,"I'm running late, start without me."
ham,The project deadline got extended to next Wednesday.
spam,"Cash prize of Rs.1,00,000 is waiting for you! Click offer-link.co to claim instantly."
spam,"Earn Rs.1,00,000 per day working from home! No investment needed. Join now: offer-link.co"
ham,Congrats on the new job! So happy for you.
ham,"I'm running late, start without me."
ham,"Aman, i'll be there in 18 minutes, traffic is bad."
spam,Hot singles in your area want to chat with you now! Click tinyurl.com/win-prize
ham,"Hey, are we still meeting at noon today?"
ham,"Please call me when you're free, nothing urgent."
ham,Do you want to grab coffee tomorrow?
spam,Get a loan of Rs.10000 instantly with ZERO paperwork. Apply now: bit.ly/claim-now
ham,Don't forget the meeting tomorrow at 7:15pm.
ham,Don't forget the meeting tomorrow at 8am.
ham,Do you want to grab coffee tomorrow?
ham,The project deadline got extended to next Wednesday.
ham,Do you want to grab coffee tomorrow?
spam,Congrats! You are pre-approved for a credit card with Rs.50000 limit. Apply: get-reward.net
spam,URGENT! Your account has been suspended. Verify now at get-reward.net to avoid deactivation.
ham,Do you want to grab coffee tomorrow?
ham,Congrats on the new job! So happy for you.
ham,"Sara, can we reschedule our call to noon?"
spam,You have been selected for a FREE iPhone 15!! Call 08001234567 now to claim your prize.
ham,The project deadline got extended to next Friday.
ham,"I'm running late, start without me."
spam,"Dear customer, your bank account will be blocked. Update KYC immediately: bit.ly/claim-now"
ham,Can we reschedule our call to 10:30am?
ham,Can you pick up milk on your way home?
ham,"Rahul, don't forget the meeting tomorrow at 6pm."
ham,Let me know once you land at the airport.
spam,Earn Rs.10000 per day working from home! No investment needed. Join now: offer-link.co
ham,Don't forget the meeting tomorrow at 6pm.
ham,Don't forget the meeting tomorrow at 5pm.
ham,"Meera, please send me the notes from today's class."
ham,"I'm running late, start without me."
ham,"Please call me when you're free, nothing urgent."
ham,"Priya, what time does the movie start tonight?"
ham,"I reached home safely, thanks for dropping me."
ham,Can we reschedule our call to 8am?
ham,"Hey, are we still meeting at 9am today?"
ham,"Aman, i'm running late, start without me."
ham,Happy birthday! Hope you have a great day.
ham,Congrats on the new job! So happy for you.
ham,"Sara, i'll be there in 14 minutes, traffic is bad."
ham,Please send me the notes from today's class.
ham,"I reached home safely, thanks for dropping me."
spam,"Click here for a FREE iPhone 15 + free shipping, limited stock available: offer-link.co"
spam,Your mobile number has won 50000 in the lucky draw! Claim before it expires: bit.ly/claim-now
spam,Cash prize of Rs.5000 is waiting for you! Click bit.ly/claim-now to claim instantly.
ham,I'll send the report by end of day.
ham,Mom said dinner will be ready by 9am.
ham,Let me know once you land at the airport.
ham,"Thanks for helping me yesterday, really appreciate it."
